id,category,question,gold_answer,gold_pages,answerable,generated_answer,retrieved_pages,answer_correct,grounded,citation_correct,abstention_correct
Q01,factual,What network size was used in the numerical simulations?,N = 10^3,[2],True,The provided context does not contain enough information to determine the network size used in the numerical simulations.,"[2, 1, 3]",0.0,0.0,1.0,
Q02,factual,What numerical integration method was used?,Fourth-order Runge-Kutta method,[2],True,The numerical integration method used was the Runge-Kutta method.,"[4, 3, 6]",1.0,1.0,1.0,
Q03,parameter,What time step was used in the simulations?,delta t = 0.01,[2],True,The context does not provide any information about the time step used in the simulations.,"[6, 4, 2]",0.0,1.0,1.0,
Q04,parameter,What distribution was used for the natural frequencies?,A Lorentzian distribution,[2],True,The natural frequencies were drawn from a distribution g(ω).,"[1, 1, 3]",1.0,1.0,1.0,
Q05,parameter,What are K1 and K2 in the model?,K1 is the pairwise coupling strength and K2 is the higher-order interaction coupling strength.,[2],True,"The values of K1 and K2 in the model are 12 and 1, respectively.","[5, 1, 2]",1.0,1.0,1.0,
Q06,numerical,What range of K1 was used for forward continuation?,K1 was increased from -1 to 12.,[2],True,The provided context does not contain enough information to determine the specific range of K1 used for forward continuation.,"[2, 4, 5]",1.0,0.0,1.0,
Q07,conceptual,"For fixed K2 = 8, what happens to the synchronization transition as phase lag beta increases?","The discontinuous transition becomes continuous as beta increases, with continuous transition above approximately beta = 1.318.","[2, 4]",True,"For fixed \( K2 = 8 \), as the phase lag beta (\( \beta \)) increases, the system exhibits a continuous transition to synchronization when the beta crosses a critical value.","[5, 3, 5]",1.0,1.0,1.0,
Q08,conceptual,What happens when K2 is varied at fixed K1 = 2.5 as beta increases?,"For small beta the transition is continuous, while for beta greater than about 0.6435 discontinuous transitions appear.","[3, 4, 5]",True,"When K2 is varied at fixed K1 = 2.5 as beta increases, the system exhibits discontinuous transitions to synchronization for low beta values, as observed in the numerical simulations. This is a completely opposite scenario compared to the continuous transition observed for low beta values.","[4, 3, 5]",1.0,1.0,1.0,
Q09,equation,What condition determines the saddle-node bifurcation?,(K1 + K2)^2 cos(beta) = 8 K2,[4],True,The condition that determines the saddle-node bifurcation is given by the equation (13).,"[4, 3, 6]",1.0,1.0,1.0,
Q10,equation,What condition determines the onset of continuous transition?,K1 = K2 = 2/cos(beta),[4],True,The condition for the onset of continuous transition is obtained as \( k1 = k2 = 2 \cos \beta \).,"[4, 6, 3]",1.0,1.0,1.0,
Q11,analytical,What critical phase lag is obtained for K2 = 8 at the onset of continuous transition?,beta = arccos(1/4) approximately 1.3181,[4],True,The critical phase lag obtained for \( K2 = 8 \) at the onset of continuous transition is \( \beta = 1.3181 \).,"[4, 5, 5]",1.0,1.0,1.0,
Q12,analytical,What role does the saddle-node bifurcation play in the discontinuous transition?,The discontinuous transition is associated with the existence of a saddle-node bifurcation.,"[4, 6]",True,"In the context provided, the saddle-node bifurcation plays a crucial role in the discontinuous transition. When the saddle-node point merges with the fixed point \( r = 0 \), the hysteresis disappears, and the system follows a continuous transition path. This implies that the saddle-node bifurcation marks the onset of a discontinuous transition.","[6, 6, 4]",1.0,1.0,1.0,
Q13,conceptual,What is the main surprising effect of higher-order interactions on phase frustration?,"In the presence of higher-order interactions, sufficiently large phase lag can promote discontinuous synchronization rather than suppress it.","[3, 5, 6]",True,The main surprising effect of higher-order interactions on phase frustration is that it promotes explosive synchronization in certain regions of the parameter space in the presence of these interactions. This effect is explained through an analytical framework based on the Ott–Antonsen ansatz.,"[2, 1, 1]",1.0,1.0,1.0,
Q14,unanswerable,What machine learning optimizer was used to train the model?,,[],False,The provided context does not contain enough information to answer the question about which machine learning optimizer was used to train the model.,"[6, 6, 7]",,,,1.0
Q15,unanswerable,What GPU model was used for the numerical simulations?,,[],False,The provided context does not contain enough information to determine the GPU model used for the numerical simulations.,"[6, 6, 7]",,,,1.0
